Country, Latitude, Longitude
ad,42.4666667,1.5
ad,42.4666667,1.5
ad,42.4666667,1.5
ad,42.4666667,1.4833333
ad,42.5,1.5166667
ad,42.5,1.5166667
ad,42.5,1.5166667
ad,42.5,1.5166667
ad,42.5,1.5166667
ad,42.5,1.5166667
ad,42.5666667,1.5166667
ad,42.5333333,1.5333333
ad,42.5833333,1.5166667
ad,42.5666667,1.4833333
ad,42.45,1.5
ad,42.45,1.5
ad,42.4833333,1.4666667
ad,42.4833333,1.4666667
ad,42.4833333,1.4666667
ad,42.5666667,1.6
ad,42.5333333,1.5666667
ad,42.4666667,1.5
ad,42.4666667,1.5
ad,42.4666667,1.5
ad,42.55,1.5166667
ad,42.5333333,1.5833333
ad,42.6166667,1.55
ad,42.5833333,1.6333333
ad,42.5833333,1.65
ad,42.55,1.5833333
ad,42.5666667,1.6
ad,42.5333333,1.5833333
ad,42.5166667,1.55
ad,42.5666667,1.5
ad,42.5666667,1.5
ad,42.5666667,1.5
ad,42.5666667,1.5
ad,42.5,1.5333333
ad,42.5,1.5333333
ad,42.55,1.5166667
ad,42.45,1.4666667
ad,42.4333333,1.5
ad,42.4333333,1.5
ad,42.5666667,1.5166667
ad,42.5833333,1.6333333
ad,42.5833333,1.6333333
ad,42.55,1.5333333
ad,42.55,1.5166667
ad,42.55,1.5166667
ad,42.5,1.5333333
ad,42.5,1.5166667
ad,42.5333333,1.5833333
ad,42.5,1.5333333
ad,42.6,1.5333333
ad,42.6,1.5333333
ad,42.6,1.5333333
ad,42.4666667,1.5166667
ad,42.6,1.5333333
ad,42.6166667,1.55
ad,42.4333333,1.45
ad,42.5666667,1.4833333
ad,42.55,1.6
ad,42.55,1.5833333
ad,42.55,1.5833333
ad,42.4666667,1.5
ad,42.55,1.5333333
ad,42.55,1.4833333
ad,42.55,1.7333333
ad,42.5666667,1.6
ad,42.5666667,1.5
ad,42.5833333,1.6333333
ad,42.55,1.6
ad,42.55,1.6
ad,42.5666667,1.6166667
ad,42.4666667,1.5
ad,42.5,1.5
ad,42.4666667,1.5
ad,42.5666667,1.6166667
ad,42.5666667,1.6166667
ad,42.4666667,1.5
ae,24.466667,54.366667
ae,25.285475,55.329611
ae,24.466667,54.366667
ae,24.466667,54.366667
ae,24.466667,54.366667
ae,25.783333,55.933333
ae,25.498669,56.358302
ae,25.288123,55.881571
ae,25.460122,56.012562
ae,25.041055,56.314853
ae,24.212717,55.783488
ae,24.959508,56.315852
ae,24.212717,55.783488
ae,25.398308,56.150726
ae,25.600312,56.269097
ae,25.453529,56.18991
ae,24.191667,55.760556
ae,25.406942,55.444126
ae,24.959508,56.315852
ae,24.959508,56.315852
ae,25.432273,56.345736
ae,25.189507,56.235157
ae,25.288123,55.881571
ae,25.288123,55.881571
ae,25.932264,56.405128
ae,25.907278,56.393
ae,26.021389,56.091389
ae,24.298014,53.211395
ae,25.116412,56.341408
ae,25.599658,56.342487
ae,24.298014,53.211395
ae,25.401739,56.068063
ae,25.996111,56.084167
ae,25.143423,56.248397
ae,24.798996,56.115379
ae,25.38148,55.419551
ae,25.38148,55.419551
ae,25.477378,56.182437
